question,gold,prop,kside,knows,A_cb,ctx_id,ctx_title,s_wiki_title,orig_gold,ctx_label,ctx_text,answer_surface,ans_start,ans_end,wrong_answer
What genre is Shaft?,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action"", ""blaxploitation"", ""blacksploitation""]",genre,K+,True,Blaxploitation,828990,Shaft (1971 film),Shaft (1971 film),action film,C+,"role was written, instantly altered the presentation of race in the film. Critics, however, believed the plot was not altered enough to accommodate the change in racial dynamics. """"Mark Reid, for example, argues that Shaft is a product of the (white) studio imagination and merely a 'black-skinned replica' of the white action hero commonly found in the detective genre."""" One way that Shaft's blackness was showcased was through his attire. Shaft was """"stylistically racialized: [He] wears clothes and affects manners that are associated with being black"""". Shaft was known for his elegant garb, as he was frequently draped in leather",action film,320,326,
In what country is Monti della Tolfa?,"[""Italy"", ""Italia"", ""Italian Republic"", ""IT"", ""🇮🇹"", ""ITA""]",country,K+,True,Italy,12540251,Monti della Tolfa,Monti della Tolfa,Italy,C+,"Monti della Tolfa The Monti della Tolfa or Tolfa Mountains are a volcanic group in the Anti-Apennines of the northern part of the Lazio region of Central Italy. They are bounded by the Tyrrhenian Sea coast to the west, by the Monti Sabatini to the east, and by the Monti Cimini and the Mignone river to the north. Tolfa and Allumiere are the principal towns. The highest peak is the Monte della Grazie, at 616 m above sea level. The Monti della Tolfa consists mostly of trachytes formed during the Eocene and the early Pleistocene. The mountains are an important",Italy,154,159,
Who is the author of Gin Tama?,"[""Hideaki Sorachi""]",author,K+,True,Yoshihiro Togashi is not the author of Gin Tama. The actual author is Hideaki Sorachi.,9382727,Gin Tama,Gin Tama,Hideaki Sorachi,C+,"illustrating Gin Tama, he usually uses a felt-tip pen, a fountain pen, a brush-tip pen, and a multiliner, but for the major characters he only uses a felt-tip pen and a fountain pen, and does their outlines with a multiliner-0.8. The manga chapters of """"Gin Tama"""" are written and illustrated by Hideaki Sorachi. They have been serialized for the manga anthology book """"Weekly Shōnen Jump"""" from Shueisha since December 8, 2003. Shueisha is also publishing the first chapters of """"Gin Tama"""" online on their """"Weekly Shōnen Jump"""" official website. Viz Media licensed """"Gin Tama"""" for publication in North America. A",Hideaki Sorachi,296,311,
What genre is Frifot?,"[""traditional music"", ""traditional folk music"", ""popular melody"", ""folk music"", ""music traditions"", ""musical folklore""]",genre,K+,True,"Frifot is a Swedish folk music group, so the genre is likely folk or traditional folk music.",10980107,Frifot,Frifot,traditional music,C+,"Frifot Frifot is a Swedish folk music trio which was formed in 1987. Its members are Lena Willemark, Per Gudmundson and Ale Möller. When it was first formed, the group called themselves """"Möller, Willemark & Gudmundson""""; the name """"Frifot"""", literally """"footloose"""", comes from the lyrics of one of the songs they play. Over the years, the trio's members have also had solo careers and performed with other groups, but Frifot has never ceased to exist as a group. Their fifth full-length CD was released in October 2007. The trio has toured in a number of countries including Poland, Great Britain,",traditional music,27,37,
Who was the screenwriter for Absentia?,"[""Mike Flanagan""]",screenwriter,K+,True,Mike Flanagan was the screenwriter for Absentia.,15990323,Absentia (film),Absentia (film),Mike Flanagan,C+,"Absentia (film) Absentia is a 2011 American independent supernatural horror film written, edited and directed by Mike Flanagan and produced by FallBack Plan Productions. The film's principal photography phase was funded by way of the film's project page on crowdfunding website Kickstarter. Courtney Bell stars as a pregnant woman whose missing husband briefly reappears after an unexplained seven-year absence. After seven years, Tricia, a pregnant woman who lives alone in a neighborhood of Glendale, California, is finally ready to accept that her missing husband, Daniel, will not return. As she prepares to declare him dead """"in absentia"""", her sister Callie,",Mike Flanagan,113,126,
What is Perth the capital of?,"[""Western Australia"", ""WA"", ""West Australia"", ""West Oz"", ""W.A."", ""State of Western Australia"", ""State of WA"", ""W. Aust.""]",capital of,K+,True,Western Australia.,7622557,"South Perth, Western Australia",Perth,Western Australia,C+,"South Perth, Western Australia South Perth is a residential suburb 3 kilometres (2 mi) south of the central business district of Perth, the capital of Western Australia, which adjoins the southern shore of Perth Water on the Swan River. The suburb adjoins two major arterial roads—Canning Highway and the Kwinana Freeway—and is within the City of South Perth local government area. The history of the area now known as South Perth before permanent European settlement was broadly similar to that in other parts of what became the Swan River Colony. The area was probably inhabited by peoples of the Noongar",Western Australia,13,30,
Who was the screenwriter for The Circus?,"[""Charlie Chaplin"", ""Charles Spencer Chaplin"", ""Charles Chaplin"", ""Sir Charles Spencer Chaplin""]",screenwriter,K+,True,Charlie Chaplin,1374179,Circus,The Circus (1928 film),Charlie Chaplin,C+,"in 2006. Following World War I, circus films became popular. In 1924 """"He Who Gets Slapped"""" was the first film released by MGM; in 1925 """"Sally of the Sawdust"""" (remade 1930), """"Variety"""", and """"Vaudeville"""" were produced, followed by """"The Devil's Circus"""" in 1926 and """"The Circus"""" starring Charlie Chaplin, """"Circus Rookies"""", """"4 Devils""""; and """"Laugh Clown Laugh"""" in 1928. German film """"Salto Mortale"""" about trapeze artists was released in 1931 and remade in the United States and released as """"Trapeze"""" starring Burt Lancaster in 1956; in 1932 """"Freaks"""" was released; """"Charlie Chan at the Circus"""", """"Circus"""" (USSR) and """"The Three",Charlie Chaplin,295,310,
What is the capital of Likouala Department?,"[""Impfondo""]",capital,K+,True,Impfondo,3813123,Likouala Department,Likouala Department,Impfondo,C+,"and that of Bouanela in the south. The regional capital is Impfondo. Other towns include Ancien Sandjala, Boyelle, Dongou, Ibenga, Kitadi, Mabelou, Makasa, Makengo, Mongouala, and Motaba. The region is undergoing a campaign to minimise hunting and reduce the impact of logging due to the establishment of nature reserves in the region. The forest of Likouala abounds in animal species such as elephants, gorilla and chimpanzees. Likouala is home to, among other animals, the dwarf crocodile """"Osteolaemus tetraspis osborni"""". Reports of a surviving sauropod called the Mokele Mbembe or n'yamala emanate from here. Likouala Department Likouala is a department of",Impfondo,59,67,
In what country is BBC?,"[""United Kingdom"", ""🇬🇧"", ""UK"", ""United Kingdom of Great Britain and Northern Ireland"", ""U.K."", ""GBR"", ""GB"", ""U. K."", ""U K"", ""G.B."", ""G. B."", ""G B"", ""Great Britain"", ""G.B.R."", ""G B R"", ""Britain"", ""Great Britain and Northern Ireland""]",country,K+,True,United Kingdom.,16775136,BBC Earth,BBC,United Kingdom,C+,"BBC Earth BBC Earth is a brand used by BBC Worldwide since 2009 to market and distribute the BBC's natural history content to countries other than the United Kingdom. BBC Worldwide is the commercial arm of the public service broadcaster. BBC Earth commercially represents the BBC Natural History Unit, the largest wildlife documentary production house in the world. BBC Earth is responsible for the worldwide marketing and distribution of titles such as """"Frozen Planet"""", """"Life"""", """"Blue Planet"""", and """"Planet Earth"""". It has generated sales to over 180 countries. The BBC Earth brand is used across a range of media platforms,",United Kingdom,151,165,
What is the capital of Laos?,"[""Vientiane"", ""Bientani"", ""Viangchan"", ""Vientane"", ""Wei-t'ien"", ""Vieṅ Čan"", ""Vieṅg-Čăn"", ""Wīangčhan"", ""Viang chan"", ""Vyentyan"", ""Wiangcan"", ""Vienchan"", ""Viengchan"", ""Nakhon Viangchan"", ""Vien Chang"", ""Vieng-Cæn""]",capital,K+,True,Vientiane,5144607,Culture of Laos,Laos,Vientiane,C+,"a number of crafts for the tourist industry around Luang Prabang. Laos has a 21% urban concentration, with the largest city being capital of Vientiane (est. 500,000 population). The rate of urbanization is growing in Laos but is considerably lower than any of the bordering countries of Vietnam, Thailand or Cambodia. Most of the Lao population is agrarian. The ancient capital of Lan Xang, which is today’s capital of Vientiane, was thoroughly destroyed as a consequence of the Annouvong Rebellion of the 1820s. As part of French Indochina, the ancient capital was rebuilt as a conscious political statement to both",Vientiane,141,150,
What genre is Sabotage?,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action""]",genre,K+,True,Action,399444,Sabotage,Sabotage (2014 film),action film,C+,"Sabotage Sabotage is a deliberate action aimed at weakening a polity, effort or organization through subversion, obstruction, disruption or destruction. One who engages in sabotage is a """"saboteur"""". Saboteurs typically try to conceal their identities because of the consequences of their actions. Any unexplained adverse condition might be sabotage. Sabotage is sometimes called tampering, meddling, tinkering, malicious pranks, malicious hacking, a practical joke or the like to avoid needing to invoke legal and organizational requirements for addressing sabotage. A popular but false account of the origin of the term's present meaning is the story that less wealthy workers in France,",action film,34,40,
What is the capital of Rabun County?,"[""Clayton"", ""Clayton, Georgia""]",capital,K+,True,Clayton,950213,"Rabun County, Georgia","Rabun County, Georgia",Clayton,C+,"Rabun County, Georgia Rabun County is the northeasternmost county in the U.S. state of Georgia. As of the 2010 census, the population was 16,276. The county seat is Clayton. With an average annual rainfall of over , Rabun County has the title of the rainiest county in Georgia and is one of the rainiest counties east of the Cascades. As early as 1760, explorers came to the area now known as Rabun County. In the 18th century, the population of Cherokee in the area was so heavy that this portion of the Appalachian Mountains was sometimes called the """"Cherokee Mountains.",Clayton,165,172,
Who was the composer of The Mission?,"[""Ennio Morricone"", ""Dan Savio"", ""Leo Nichols""]",composer,K+,True,Ennio Morricone,2805616,The Mission (1986 film),The Mission (1986 film),Ennio Morricone,C+,"Italian composer Ennio Morricone, ranked 1st on the Australian Broadcasting Corporation's (ABC) Classic 100 Music in the Movies. The film is set in the 1740s and involves Spanish Jesuit priest Father Gabriel who enters the northeastern Argentina and eastern Paraguayan jungle to build a mission station and convert a Guaraní community to Christianity. The Guaraní are not initially receptive to Christianity or outsiders in general, and tie a priest to a wooden cross and send him over the Iguazu Falls. Father Gabriel travels to the falls, climbs to the top, and plays his oboe. The Guaraní warriors, captivated by the",Ennio Morricone,17,32,
What is Stari Ras the capital of?,"[""Principality of Serbia (early medieval)"", ""Serbia""]",capital of,K+,True,Stari Ras is the capital of Serbia.,6311511,Stari Ras,Stari Ras,Principality of Serbia (early medieval),C+,"Stari Ras Ras (; ), known in modern Serbian historiography as Stari Ras (, meaning Old Ras), is a medieval fortress located in the vicinity of former market-place of """"Staro Trgovište"""", some 11 km west of modern day city of Novi Pazar in Serbia. Old Ras was one of the first capitals of the medieval Serbian state of Raška, and the most important one for quite a long period of time. Located in today's region of Raška, the city was positioned in the center of the early medieval state. It was founded before 9th century and was deserted sometime in",Principality of Serbia (early medieval),239,245,
